"target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"MSTRG.5585",0.000314805289979017,0.00201621160913794,-0.277156844038138,0.0769281359118253,7.01189290478534,0.024120161526691,0.0024133780569976,-0.0010691447225765,0.00646352908530481,0.00646352908530481
"R3HDM2",0.00031502810004955,0.00201708264887058,-0.361311222172677,0.100291289358358,6.09582921483611,0.0481830141372827,0.00570123856469926,0.00557285438143709,0.00938627551704345,0.00938627551704345
"ARHGAP23",0.00031549655639807,0.00201952561555525,0.468712814911206,0.130117330182081,5.28771216912859,0.0862241343950515,0.00715939104972986,0.0182363883708391,0.0152390970222574,0.0182363883708391
"ACVR1B",0.000316204604879935,0.00202338991056832,-0.815416293689111,0.226400795935556,6.35281989225336,0.260979904084409,0.0143632625878187,0.0625227180125613,0.00829465399449259,0.0625227180125613
"TFEB",0.000316274408468933,0.00202338991056832,0.669910317593755,0.186003942161344,4.03607062772889,0.157599853688121,0.0163102132519636,0.0123971662512253,0.0355859864973776,0.0355859864973776
"KRT8P12",0.000317226681572885,0.00202892352684491,0.435157408425267,0.120849848478831,5.20535254910651,0.0621465759242381,0.00577100767945027,0.000901473435574086,0.0161360211365844,0.0161360211365844
"GLUD2",0.000318257913088219,0.00203495896216782,0.863508235035628,0.239865616161912,3.96020597603634,0.292736558172384,0.0244168560247107,0.0618864147003898,0.0374752442229124,0.0618864147003898
"CH507-9B2.5",0.000318693138866038,0.00203718123100172,0.261086274709613,0.0725317955151633,6.85502683318352,0.0223432343801919,0.00110017338819643,0.00126660352138958,0.00679111865278376,0.00679111865278376
"CUL2",0.00031881423979183,0.00203739485033085,0.292935970906277,0.0813821222582893,7.65305505692719,0.0281707024630691,0.00436305986783653,-0.00132898793305147,0.00557151486705819,0.00557151486705819
"RRP1B",0.000319772702223788,0.00204295807227713,0.219340762952494,0.0609494601052621,8.0292638842856,0.01535687719253,0.000297240327201501,0.000857467303742522,0.0052750147034829,0.0052750147034829
"MSTRG.12979",0.000320724215561047,0.00204847385178023,1.05062051941832,0.292004587131818,3.02059802397901,0.351369648516519,0.0503386379963794,-0.0250528807842916,0.0775613803626561,0.0775613803626561
"STXBP2",0.000321237140757889,0.00205118609580937,-0.341543800385823,0.0949380675595332,5.99643083617431,0.0443545792772644,0.00363138110928024,0.00806728014405396,0.0098884738986275,0.0098884738986275
"EZH2",0.000321903756985287,0.00205487793882146,-0.345065937899454,0.0959314905117761,7.3935106876951,0.0467645714957014,0.00375208280869361,0.0100521934990229,0.00586573910411179,0.0100521934990229
"MSTRG.6778",0.00032240727116123,0.00205752687522723,-0.330389512397015,0.0918616969050746,6.53958450071444,0.0419432497427977,0.00501100859915725,0.00648409236611335,0.00764684843826244,0.00764684843826244
"ALG5",0.000322928049977883,0.00206028450557004,-0.29760395330917,0.0827556455106918,6.19251228801948,0.0338071273035925,0.00132904650548973,0.00771682023953366,0.00894369879034719,0.00894369879034719
"RP11-86H7.7",0.000323047761339671,0.00206048250960434,-1.71358204753853,0.476513806230862,2.42815717208432,1.15338751912825,0.180669945948255,0.15992816534468,0.122169670135656,0.15992816534468
"APBB1",0.000323785432207201,0.0020646208295188,0.304344800385222,0.0846463384588994,6.29080650776515,0.0297014119888879,0.00221320857255141,0.000178897342988316,0.00853429534919643,0.00853429534919643
"SPEG",0.000324034131609351,0.00206563980303837,1.44071860932008,0.400724226440225,3.67207374530919,0.815396920159693,0.130907434758928,0.109962423725247,0.046211144190996,0.109962423725247
"MSTRG.19735",0.00032551967315708,0.00207454062684528,-0.662903851367719,0.18444243879959,5.35880422493539,0.136155342523175,0.0365018087102457,-0.031098199115585,0.0145267111352651,0.0145267111352651
"NGEF",0.000328510242246999,0.00209302549735434,1.06899520449451,0.297628152112119,3.66997821869254,0.44912424448529,0.0259288978780357,0.106944877516476,0.0462851029620146,0.106944877516476
"COLGALT2",0.000329016831734731,0.00209567848195949,2.00498940646846,0.558288759993628,1.65170707947446,1.24490656941284,0.259789723970014,-0.211149957222995,0.207739785332821,0.207739785332821
"CFHR3",0.000332235525437951,0.00211560007373972,-1.26448476874515,0.352344406769006,3.08481221623982,0.541042451127384,0.112548086768627,-0.0358406717550751,0.0736717847034776,0.0736717847034776
"DENND5B",0.000332876354450437,0.0021190999923316,0.307805447253703,0.0857809579663342,6.18441416675487,0.0372533053072621,0.00144349947234026,0.00959405965209273,0.00897917621635272,0.00959405965209273
"PER2",0.000333382626122339,0.00212174163258796,-0.862005190060431,0.24025500434338,4.01471993627627,0.259886388667475,0.0504801812194556,-0.00426705076928059,0.0361035194486003,0.0361035194486003
"NOP56",0.000333983812464335,0.00212498572464986,0.288123179830304,0.0803151812991607,8.75498717391315,0.0326451240431984,0.000262932894711005,0.00941285962596458,0.0050904515019945,0.00941285962596458
"INADL",0.000337671310755041,0.002147385772723,-0.546042373471127,0.152332571695102,4.55498588373238,0.0987536905304854,0.00939989787748177,0.00223136267588215,0.0254079207213834,0.0254079207213834
