"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"3719","KIAA0020",0.00275805922684082,0.0172355491287548,8.96098651469864,0.15058615063464,1,5.37315665192593,0.030117230126928,0.000620714213679443,0.0294965159132485,0.0335510912728272,0.0335510912728272
"3720","C9orf41",0.00276102289863652,0.0172413673939044,8.95902444411912,0.333332156872337,1,5.63176101250084,0.0666664313744675,0.00294879904045012,0.0637176323340173,0.0291178426590156,0.0637176323340173
"3721","NOX1",0.00276090844715499,0.0172413673939044,8.95910017592163,6.93027149438346,1,1.76671305139786,1.38605429887669,0.341766743325014,1.04428755555168,0.359829556017096,1.04428755555168
"3722","MSTRG.2357",0.00276564555466228,0.0172563211890797,8.95596832409897,9.76025741069277,1,3.80857668608007,1.95205148213855,0.496538685242416,1.45551279689614,0.0882702873190612,1.45551279689614
"3723","RP11-286N22.14",0.00276539522999925,0.0172563211890797,8.95613368530034,1.02754918429149,1,3.42541079506562,0.205509836858298,0.0372590626109081,0.16825077424739,0.112810102033403,0.16825077424739
"3724","SMU1",0.00276465217131243,0.0172563211890797,8.95662462969608,0.0632586738808965,1,8.17680276560557,0.0126517347761794,0.000301358033266485,0.0123503767429128,0.0148693360143068,0.0148693360143068
"3725","CTTNBP2NL",0.00276666588015999,0.0172580532594356,8.95529446759422,0.320584451100247,1,4.90149117402734,0.0641168902200496,0.00709074184423085,0.0570261483758186,0.0454220820760952,0.0570261483758186
"3726","PACERR",0.0027703400098281,0.0172670655762784,8.95287004023343,1.77599262633888,1,2.97000972390863,0.355198525267775,0.0752420101039442,0.279956515163831,0.153763267018418,0.279956515163831
"3727","MSTRG.6666",0.00276979472386299,0.0172670655762784,8.95322964863209,0.388342399370588,1,6.58459755293074,0.0776684798741175,0.0142901142403377,0.0633783656337799,0.0195276249209183,0.0633783656337799
"3728","LINC01091",0.00276921691645003,0.0172670655762784,8.95361078292237,16.1442827901063,1,2.83674685528945,3.22885655802126,0.103882298288904,3.12497425973236,0.168808444770578,3.12497425973236
"3729","MSTRG.4649",0.00278108217397577,0.0173261830301656,8.94580035192136,0.41866115399901,1,7.57957709707402,0.0837322307998021,0.000596408679933541,0.0831358221198685,0.0157073599806331,0.0831358221198685
"3730","MSTRG.13384",0.00278131617759157,0.0173261830301656,8.94564665703616,0.653992472020429,1,5.93319573268108,0.130798494404085,0.00403774993726683,0.126760744466819,0.0250803101351392,0.126760744466819
"3731","ASCC1",0.00278707596578435,0.0173574101155093,8.94186772949727,0.21140947674562,1,5.54746218632376,0.0422818953491241,0.00401933217879667,0.0382625631703272,0.0304567060004857,0.0382625631703272
"3732","MSTRG.4851",0.00278889912332766,0.0173641104045127,8.940673230041,0.244750429136198,1,5.6611613363916,0.0489500858272401,0.00481682019109165,0.0441332656361479,0.0286735822634195,0.0441332656361479
"3733","IQCH-AS1",0.00279226824661339,0.0173804299432919,8.93846792726085,1.25268263950376,1,3.54784819539925,0.250536527900753,0.0503028829938286,0.200233644906924,0.104102670691344,0.200233644906924
"3734","MSTRG.9377",0.00279329533602514,0.0173810471968904,8.93779617013723,0.493500398529265,1,7.48186423797281,0.0987000797058522,0.00401920650623095,0.094680873199622,0.0159301152490894,0.094680873199622
"3735","RPL4",0.00279392945562559,0.0173810471968904,8.93738155604484,0.0864036065799505,1,10.8220847055448,0.0172807213159902,2.22552321552061e-05,0.0172584660838349,0.0223343941640112,0.0223343941640112
"3736","GNG11",0.00279461147906621,0.0173810471968904,8.93693572705095,0.115656031381737,1,7.51752862126295,0.0231312062763473,0.000494475323561728,0.0226367309527857,0.0158458661657198,0.0226367309527857
"3737","UBQLN4",0.00279565841877923,0.0173829058118154,8.93625157242871,0.138634271222788,1,5.64026238878401,0.0277268542445578,0.00143351983262621,0.0262933344119314,0.0289881991884114,0.0289881991884114
"3738","CCDC86",0.00279688891905517,0.0173833232453003,8.93544779708864,0.0571902761721975,1,7.62649770176435,0.0114380552344396,0.000403862625385355,0.0110341926090542,0.0156093342080926,0.0156093342080926
"3739","FKRP",0.00279722179437845,0.0173833232453003,8.93523042124061,0.230557103826495,1,5.06447393383761,0.0461114207652988,0.00499507389213432,0.0411163468731646,0.0406411504671088,0.0411163468731646
"3740","RP11-60L3.1",0.00279907373548722,0.017390181101011,8.93402153713735,1.12047148678379,1,3.57318631791617,0.224094297356758,0.0346932067607939,0.189401090595964,0.102404681041654,0.189401090595964
"3741","HIST3H2A",0.00280070484471906,0.0173956636653013,8.93295747708764,1.69688068542203,1,3.87698916762373,0.339376137084406,0.0231404465951622,0.316235690489244,0.0846854286896386,0.316235690489244
"3742","RAB6A",0.00280700126937001,0.0174301126389849,8.92885587648358,0.11260029794634,1,6.58459775307198,0.0225200595892681,0.00107507055431551,0.0214449890349525,0.019527623660132,0.0214449890349525
"3743","NSL1",0.00280975417698386,0.0174378867672,8.92706551914576,0.155258729788266,1,6.06062996910842,0.0310517459576531,0.00339874801174462,0.0276529979459085,0.0237192811049167,0.0276529979459085
"3744","PFKFB4",0.00280953893547447,0.0174378867672,8.9272054375568,2.01317423489787,1,4.45786104348715,0.402634846979573,0.0120227627882115,0.390612084191362,0.0603176406590086,0.390612084191362
"3745","RTN4RL2",0.00281361924128842,0.0174478934322332,8.92455487302187,2.34064781015311,1,4.96484779061317,0.468129562030623,0.00627907507242682,0.461850486958196,0.0434916084306314,0.461850486958196
"3746","RFC5",0.00281284076755682,0.0174478934322332,8.92506026770146,0.0741575234255503,1,6.64133517606158,0.0148315046851101,0.000342718747176904,0.0144887859379332,0.0191812927933099,0.0191812927933099
"3747","MSTRG.24699",0.00281303513826476,0.0174478934322332,8.9249340665538,1.13164132291468,1,3.39961958797729,0.226328264582936,0.0350643390918418,0.191263925491095,0.114755319594234,0.191263925491095
"3748","MSTRG.12858",0.00281629058833292,0.0174597993891419,8.92282168087132,0.235024485021713,1,6.46190444393323,0.0470048970043428,0.00647408013678457,0.0405308168675581,0.0203559593452948,0.0405308168675581
"3749","TMEM43",0.00281916102238023,0.0174729329197191,8.92096117920954,0.0909798585629361,1,7.37778988967534,0.0181959717125873,0.000612696843372675,0.0175832748692145,0.0161957224619877,0.0175832748692145
"3750","AC005609.18",0.0028212905087677,0.0174814683364604,8.91958217302054,10.0777916316941,1,1.54125379661929,2.01555832633882,0.186243529487897,1.82931479685092,0.419966204128782,1.82931479685092
"3751","MMP14",0.00282551422408297,0.0175029721436396,8.91685011727193,8.41025904343224,1,3.13448414193561,1.68205180868645,0.024976493488739,1.65707531519771,0.137244800363047,1.65707531519771
"3752","PLEKHG4B",0.00282677791071872,0.0175061331379158,8.91603352389448,7.47472193311978,1,3.58277656578089,1.49494438662396,0.144729261105858,1.3502151255181,0.101770939475388,1.3502151255181
"3753","DPYSL5",0.00282868053402277,0.0175132483049702,8.9148047491191,2.28133407323089,1,4.70656485056788,0.45626681464618,0.0217215455917815,0.434545269054397,0.05177859333486,0.434545269054397
"3754","KIF18A",0.00282970395703847,0.0175149177266239,8.91414413703567,0.473750594029217,1,6.2419413629377,0.0947501188058433,0.00227963432792946,0.0924704844779138,0.0220653412763096,0.0924704844779138
"3755","MSTRG.2007",0.0028313540192277,0.0175204639123235,8.91307954474335,1.11812997362331,1,3.99993722214585,0.223625994724662,0.0218597748664468,0.201766219858215,0.0787212649004974,0.201766219858215
"3756","KIF1B",0.00283607205383514,0.0175312572255055,8.91003902124117,0.182507679614872,1,6.69675705917896,0.0365015359229746,0.00310962082233307,0.0333919151006413,0.0188635266399574,0.0333919151006413
"3757","USP2-AS1",0.00283498903252113,0.0175312572255055,8.91073651665618,2.88737324099472,1,2.78804487705041,0.577474648198944,0.115582946333947,0.461891701864997,0.174711601656076,0.461891701864997
"3758","RP11-680A11.5",0.0028361161951573,0.0175312572255055,8.91001059875705,1.92399967570491,1,3.1610380438446,0.384799935140983,0.0524553703089354,0.332344564832047,0.134773455945552,0.332344564832047
"3759","NAP1L1",0.00283528234805008,0.0175312572255055,8.91054758669908,0.046099539938561,1,9.33603261311235,0.00921990798771226,0.000134035991096537,0.00908587199661566,0.0156544823909826,0.0156544823909826
"3760","ODF2",0.00284390527103561,0.017571323886297,8.90500225370751,0.190812278577643,1,7.07534615628858,0.0381624557155286,0.00241461390589853,0.0357478418096301,0.0171461885646207,0.0357478418096301
"3761","TLR3",0.00284411039492008,0.017571323886297,8.90487054819651,2.60022340008156,1,3.4763715831742,0.520044680016312,0.0864154685044556,0.433629211511857,0.109082205502062,0.433629211511857
"3762","MSTRG.26144",0.00284832036493399,0.0175926560339197,8.90216954823041,5.40458459333604,1,2.52918397117188,1.08091691866721,0.140629018484433,0.940287900182774,0.210154249899427,0.940287900182774
"3763","MSTRG.11752",0.00285247009528624,0.0176042483755833,8.89951116124473,0.295789645336922,1,5.31362658061532,0.0591579290673849,0.00436035312897324,0.0547975759384112,0.0347158752123155,0.0547975759384112
"3764","NCBP2",0.00285137592907772,0.0176042483755833,8.90021172103878,0.0667171776317803,1,6.96835816472918,0.0133434355263562,0.000666233138903214,0.0126772023874529,0.0175609428187112,0.0175609428187112
"3765","SYTL4",0.00285243685732234,0.0176042483755833,8.89953243843544,0.731214826288296,1,5.0084024098676,0.146242965257659,0.0468462202873412,0.099396744970318,0.0422157184425285,0.099396744970318
"3766","SLC22A17",0.00285665031232157,0.0176253655488858,8.89683721205986,1.42796434049243,1,4.86200887536041,0.285592868098486,0.0235225183417686,0.262070349756717,0.0466649093891238,0.262070349756717
"3767","MSTRG.915",0.00285836550762428,0.0176295264124966,8.89574120687422,0.133473146827393,1,6.65430483239937,0.0266946293654786,0.00193243028969301,0.0247621990757855,0.0191051584048539,0.0247621990757855
"3768","ING3",0.00285884212094539,0.0176295264124966,8.89543677083011,0.304716904652972,1,5.50772744842975,0.0609433809305942,0.00529517746914633,0.0556482034614481,0.0311223756952893,0.0556482034614481
"3769","SUCLG2",0.00286487061866506,0.0176620147772091,8.89159052012394,0.0799733768847199,1,7.37225866858431,0.0159946753769441,0.000403365494257515,0.0155913098826865,0.0162106748461047,0.0162106748461047
"3770","CDH6",0.00286960867602101,0.0176865324127385,8.88857334970107,4.8919421868275,1,3.23539165608291,0.9783884373655,0.0778443612300546,0.900544076135445,0.128123631763602,0.900544076135445
"3771","TRAPPC3",0.00287175494602478,0.0176903759082269,8.88720828070395,0.137617095145717,1,7.38623492306214,0.0275234190291436,0.00102581887187799,0.0264976001572655,0.0161730577412381,0.0264976001572655
"3772","MROH3P",0.00287122679758325,0.0176903759082269,8.88754409713104,3.50524920098932,1,2.15919131906703,0.701049840197863,0.165645250852356,0.535404589345507,0.273678797208486,0.535404589345507
"3773","UBE2D1",0.00287292388866054,0.0176928861587374,8.88646524648326,0.122285676315832,1,6.66668725624729,0.0244571352631666,0.00314787629932173,0.0213092589638447,0.0190334926892842,0.0213092589638447
"3774","POP5",0.00287453306748226,0.0176981055527339,8.88544287982816,0.0802854091537409,1,6.76311415090247,0.0160570818307479,0.00111441583107777,0.0149426659996704,0.0185080347989134,0.0185080347989134
"3775","PCBP2",0.00287689099702556,0.0177046535827817,8.88394585549258,0.0573029093906681,1,9.51482741394164,0.0114605818781335,8.90436526754545e-05,0.0113715382254582,0.0160724490705174,0.0160724490705174
"3776","SMC4",0.00287712049959475,0.0177046535827817,8.88380021331099,0.147111460803187,1,7.02350218591202,0.0294222921606377,0.00148746907489169,0.0279348230857458,0.0173410921082381,0.0279348230857458
"3777","RPL11",0.00288094345373032,0.0177234848003383,8.88137590283331,0.0699988880885337,1,9.90714026868699,0.013999777617707,7.10925058761885e-05,0.0139286851118306,0.0173118825010424,0.0173118825010424
"3778","CHRNB1",0.00288422257020151,0.0177389612602441,8.87929906650873,0.43114046182272,1,4.72072967244622,0.0862280923645441,0.00957717640148959,0.0766509159630545,0.0513020637565868,0.0766509159630545
"3779","MSTRG.5245",0.00288522613146501,0.0177404377853191,8.87866393781633,6.44793908095439,1,5.91293740427313,1.28958781619088,0.00555665227880364,1.28403116391208,0.0253154342710686,1.28403116391208
"3780","TP63",0.00288653425564629,0.0177437857048141,8.87783639567002,3.29741720097177,1,5.40766952468683,0.659483440194353,0.0199621456911806,0.639521294503173,0.0329017520949548,0.639521294503173
"3781","ADCY1",0.00288734091850809,0.0177440501408236,8.87732627652992,2.90281546563083,1,3.85653664422034,0.580563093126163,0.0264222300079598,0.554140863118206,0.0857356360972405,0.554140863118206
"3782","KCNAB2",0.00289004811189511,0.0177559909910087,8.87561535335282,0.92341729931719,1,5.33221619958918,0.184683459863438,0.00809023507059919,0.176593224792839,0.0343459580361273,0.176593224792839
"3783","LINC01460",0.00289172802629137,0.0177616157596898,8.87455447999967,3.69190409412427,1,2.24741256915202,0.738380818824854,0.133556850272357,0.604823968552497,0.257120568690777,0.604823968552497
"3784","MSTRG.5716",0.00289467689047703,0.0177750296583309,8.87269377212383,0.347451416513719,1,5.71861201724842,0.0694902833027434,0.0130733653338898,0.056416917968854,0.0278380825011752,0.056416917968854
"3785","RP1-140K8.5",0.00290193151573982,0.017814869405477,8.86812434793728,2.49466691940486,1,3.14706650472094,0.498933383880972,0.0432903225185689,0.455643061362404,0.136067298754644,0.455643061362404
"3786","MSTRG.13000",0.00290525262964486,0.017830546778243,8.86603636936449,0.564762859519353,1,4.87426317218159,0.112952571903871,0.00856232917306381,0.104390242730807,0.0462761643137436,0.104390242730807
"3787","HOXA10",0.00290841715937295,0.0178452551135965,8.86404908929197,0.197355162056154,1,5.41889381778655,0.0394710324112306,0.00373412498949972,0.035736907421731,0.0326945837448369,0.035736907421731
"3788","MFAP1",0.00291071350692813,0.0178531054558368,8.86260838996839,0.081723794627103,1,6.59797860188218,0.0163447589254208,0.000753601762045697,0.0155911571633749,0.0194439577667699,0.0194439577667699
"3789","RP11-844P9.2",0.00291123328336055,0.0178531054558368,8.86228244905728,5.06821599012374,1,1.52057213275497,1.01364319802475,0.15586031114199,0.857782886882758,0.425924096949674,0.857782886882758
"3790","ZNF526",0.00291265947940145,0.0178571386974596,8.8613884149028,0.220692375494272,1,5.59897151074129,0.0441384750988544,0.0055130423787761,0.0386254327200783,0.029626998857489,0.0386254327200783
"3791","CBX1",0.00291402551875162,0.0178608010956773,8.86053250775052,0.0784729702566037,1,7.29309337709066,0.0156945940513208,0.000346229003785118,0.0153483650475356,0.0164341221107383,0.0164341221107383
"3792","SYF2",0.00291486810798159,0.0178612540498577,8.86000477727947,0.115201616127151,1,6.45749285856886,0.0230403232254302,0.00135449150646954,0.0216858317189606,0.0203879074842364,0.0216858317189606
"3793","MSTRG.12897",0.00291650811829057,0.0178665917839704,8.85897805019488,0.896155351557827,1,3.76306176410652,0.179231070311566,0.0268066971572626,0.152424373154303,0.0907749109755923,0.152424373154303
"3794","GEMIN5",0.00291810811922226,0.0178716816705979,8.85797693592076,0.434601429795405,1,4.77685941735729,0.0869202859590816,0.00080961026607185,0.0861106756930092,0.0494305754827431,0.0861106756930092
"3795","MSTRG.18597",0.00291961515692187,0.0178761996801677,8.85703449812563,3.29945977825185,1,3.83326054890461,0.659891955650369,0.0991791170989278,0.560712838551442,0.0869528614469365,0.560712838551442
"3796","PTK6",0.00292225591284403,0.0178876550028567,8.85538427164359,2.69241579998653,1,3.36495246474437,0.538483159997306,0.0430637210807458,0.49541943891656,0.117433742379578,0.49541943891656
"3797","NTAN1",0.00292888683646869,0.0179188031943619,8.85124722966913,0.361872628059729,1,5.99314420663523,0.0723745256119461,0.00979050449566428,0.0625840211162816,0.0244159778006426,0.0625840211162816
"3798","TOX3",0.00292822478113938,0.0179188031943619,8.85165985912937,17.215275660815,1,4.01995360994966,3.443055132163,0.993897546379306,2.44915758578369,0.0778020523545533,2.44915758578369
"3799","KIAA1524",0.00293068805208389,0.0179251033372522,8.85012509189722,0.0686471456137552,1,7.7607559401761,0.0137294291227512,0.000892393918808755,0.0128370352039423,0.0153600907050054,0.0153600907050054
"3800","ADH1C",0.0029348724487098,0.0179459726890055,8.84752095986842,14.4931041659423,1,2.26327317263332,2.89862083318846,0.296017271822268,2.60260356136619,0.254242285461312,2.60260356136619
"3801","SH3YL1",0.00293860288372803,0.0179640559343079,8.84520252566726,0.696955535076891,1,4.75083729648468,0.139391107015379,0.0147936037598046,0.124597503255574,0.0502944379516011,0.124597503255574
"3802","PCDHA3",0.00294040848424834,0.0179703660021027,8.84408143346922,1.10709587114561,1,4.04112481689002,0.221419174229121,0.0365161228308593,0.184903051398262,0.0768441794265288,0.184903051398262
"3803","NKRF",0.00294326590857772,0.0179830993036318,8.84230869501217,0.185351460562873,1,6.77382978492917,0.0370702921125748,0.001405793326983,0.0356644987855916,0.0184530560810373,0.0356644987855916
"3804","MSTRG.17667",0.00294806488262115,0.0180076854922674,8.83933535401662,0.192271645993323,1,7.08649062308536,0.0384543291986648,0.00244095267328262,0.0360133765253821,0.0171057134304342,0.0360133765253821
"3805","P2RY6",0.00295349360133969,0.018036104420691,8.83597775748767,0.298346067067994,1,5.73406663782363,0.0596692134135983,0.00249517062136999,0.0571740427922289,0.0276205323266154,0.0571740427922289
"3806","IDH1",0.00295608633538518,0.0180471944532344,8.83437639428623,0.0562917455475833,1,8.08458189345935,0.0112583491095167,0.000706787981644837,0.0105515611278718,0.0149423855309186,0.0149423855309186
"3807","MARCH9",0.00295705354968118,0.018048191843739,8.83377937427263,0.414046021979199,1,4.93272454485762,0.0828092043958394,0.0183731552975716,0.0644360490982683,0.0444599602695268,0.0644360490982683
"3808","MSTRG.16434",0.00295895982237216,0.018048191843739,8.832603294181,15.862944903434,1,1.14553501251366,3.1725889806868,0.310975275363187,2.86161370532361,0.54855881343074,2.86161370532361
"3809","METTL5",0.00295830256782016,0.018048191843739,8.83300870219935,0.210643449262209,1,6.8485199086051,0.0421286898524419,0.00106515647115916,0.0410635333812827,0.0180875470494368,0.0410635333812827
"3810","SKIV2L2",0.00295935664161842,0.018048191843739,8.83235857225531,0.146951457735893,1,6.34911599623392,0.0293902915471787,0.00267314455581736,0.0267171469913613,0.0212015584594498,0.0267171469913613
"3811","CYP1A1",0.00296123157112894,0.0180548876375628,8.83120273733759,7.01345948811053,1,3.24352221600661,1.40269189762211,0.0683970370758563,1.33429486054625,0.127419962029656,1.33429486054625
"3812","ATG4B",0.00296321703718397,0.0180622536925516,8.82997957025206,0.107493437175154,1,6.61993160498366,0.0214986874350309,0.00263547194022932,0.0188632154948014,0.0193093720647663,0.0193093720647663
