"target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"HOXC4",0.000780778933441235,0.004482997792156,-0.523848234292204,0.155929470777223,4.9157657235791,0.111501891599555,0.0107873351464978,0.0256836646387997,0.0202539602611226,0.0256836646387997
"MED18",0.000782110003179048,0.0044895443140749,0.432824689063297,0.128853315031274,5.11896942909462,0.0587932357018896,0.00735079465473967,-0.00411070432590521,0.0175539705370836,0.0175539705370836
"KCTD11",0.000782617787349944,0.00449026716830836,0.334020181350119,0.0994442022800031,5.60038000903289,0.039730559400182,0.00210544017013492,0.00571920349915522,0.0127282838805244,0.0127282838805244
"LINC00883",0.000782496603588409,0.00449026716830836,0.714080773022704,0.212592807463392,3.43100526722454,0.175435541994875,0.0106082571723259,0.0174694139210051,0.0571852955054241,0.0571852955054241
"IL34",0.000786833918550607,0.00451335612109102,1.37443464751293,0.409376505554839,2.56549902796435,0.722526090341109,0.136693154540728,0.0580629832791609,0.114690530409708,0.114690530409708
"CHST7",0.000787589999127106,0.0045165914653673,0.712200183884279,0.212146197257544,4.90191443391364,0.206175941390444,0.00648022433662616,0.0610287891796289,0.0204520986677014,0.0610287891796289
"BARX1",0.000788226663999152,0.00451914058603902,1.46396647577586,0.436107147664802,3.90171143375246,0.871186685751869,0.0359443981009047,0.249339768265589,0.0397706190676556,0.249339768265589
"NFXL1",0.000789205526905963,0.00452364991025455,0.376281729288016,0.112103611477007,5.98625737727397,0.0476948364624661,0.00881080772582308,-0.00228773957123298,0.0100400218334587,0.0100400218334587
"RP11-3P17.3",0.000789679012097135,0.00452415858867245,0.206020639469882,0.0613816647976517,9.76293157302881,0.016951173110148,5.82857592506012e-05,0.00521399167059198,0.00559327740074631,0.00559327740074631
"MAOB",0.0007895151484911,0.00452415858867245,-1.87312176064567,0.558067223278141,1.56547972044657,1.42630236989815,0.131177310547377,0.335981227998685,0.229212427160756,0.335981227998685
"MSTRG.20912",0.000791970748948386,0.00453507866417534,0.934101788501556,0.278372193048711,3.27309032520755,0.311928047975895,0.0511666304329593,0.0115386228062325,0.0650699863611636,0.0650699863611636
"MSTRG.27740",0.000791848176412618,0.00453507866417534,-0.456166137584762,0.135940589804695,5.3286949121718,0.0846020762714377,0.00938222794679479,0.0183375379878777,0.0152020610310215,0.0183375379878777
"NPEPPS",0.00079624570761269,0.00455844852766194,0.270551991902266,0.0806631493336753,6.5325352297588,0.026408781743316,0.00209612891781052,0.00346545564047757,0.00766368657282968,0.00766368657282968
