"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"CHPT1",0.00934109526108109,0.0389441372717789,6.75642051936259,0.15984541323592,1,6.94335286398398,0.0319690826471836,0.00247444777797247,0.0294946348692115,0.0177377876219996,0.0294946348692115
"MSTRG.13705",0.00933691610197552,0.0389441372717789,6.7572190190927,0.0947499415620874,1,8.61634262245014,0.0189499883124176,0.00249868763560235,0.0164513006768151,0.0147284214441405,0.0164513006768151
"PPP1R21",0.00933955184788559,0.0389441372717789,6.75671537219535,0.099683408230844,1,6.27175244534609,0.0199366816461689,0.0055456493838461,0.0143910322623227,0.0219064104421929,0.0219064104421929
"MSTRG.19252",0.00933824008717411,0.0389441372717789,6.75696600949701,16.4680729042683,1,2.44331315224288,3.29361458085367,0.495441562191311,2.79817301866235,0.230163943156739,2.79817301866235
"CCDC3",0.00934735330085481,0.0389564159010284,6.75522549790706,11.8510002462783,1,1.99773521996829,2.37020004925566,0.0882149263443397,2.28198512291132,0.31592176872444,2.28198512291132
"PDCD7",0.00934680887642739,0.0389564159010284,6.75532942744485,0.134814759130669,1,4.60319986916815,0.0269629518261339,0.00175342043987403,0.0252095313862598,0.0557071635508961,0.0557071635508961
"MSTRG.4625",0.00935974801249746,0.0390011611902756,6.75286104804813,7.08026355239308,1,1.20118613879701,1.41605271047862,0.269855264826628,1.14619744565199,0.544693130116193,1.14619744565199
"KIAA1841",0.00937761241448207,0.0390548412898511,6.74945882097002,0.163289839712382,1,6.55679389966329,0.0326579679424765,0.00605271854559748,0.0266052493968789,0.0197881253344845,0.0266052493968789
"NMI",0.00937651285827557,0.0390548412898511,6.74966803667679,2.01305984658464,1,4.6310388697453,0.402611969316928,0.0498910792867888,0.35272089003014,0.0547330078791645,0.35272089003014
"CHCHD4",0.00937440072356874,0.0390548412898511,6.75006998910041,0.16213610402057,1,6.93664309699779,0.0324272208041141,0.000970941722374163,0.0314562790817398,0.0177665598537603,0.0314562790817398
